car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1001,3,alfa-romero stelvio,gas,std,two,convertible,rwd,front,88.1,167.7,64.1,48.9,2504,dohc,four,127,mpfi,3.36,2.65,8.87,112,4914,21,27,16653.0
1002,1,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,93.1,157.3,63.4,50.6,2097,ohc,four,97,spdi,3.01,3.42,7.55,103,5515,24,30,7734.0
1003,0,bmw x5,gas,std,two,sedan,rwd,front,103.7,195.8,68.6,54.2,3395,ohc,six,204,mpfi,3.64,3.43,7.84,184,5498,16,22,43310.0
1004,0,nissan fuga,gas,std,four,wagon,fwd,front,98.9,182.5,65.4,56.2,3321,ohcv,six,180,mpfi,3.41,3.27,9.15,154,5174,17,22,15278.0
1005,1,nissan latio,gas,std,four,sedan,fwd,front,95.6,164.3,63.5,54.3,1906,ohc,four,97,2bbl,3.17,3.29,9.46,70,5096,31,38,7020.0
1006,0,subaru r1,gas,std,four,sedan,4wd,front,98.0,171.8,65.0,55.0,2405,ohcf,four,109,2bbl,3.61,2.62,8.96,83,4848,24,25,8621.0
1007,0,mazda rx-4,gas,std,four,sedan,fwd,front,99.4,182.0,66.1,55.5,2407,ohc,four,124,2bbl,3.35,3.39,8.54,85,4733,26,32,10715.0
1008,3,porsche cayenne,gas,std,two,hardtop,rwd,rear,88.9,168.2,65.7,52.6,2721,ohcf,six,198,mpfi,3.74,2.92,9.39,209,5913,17,25,36530.0
1009,0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,114.5,199.3,68.4,59.3,3509,l,four,154,idi,3.73,3.55,20.92,96,4150,25,25,16624.0
1010,2,chevrolet impala,gas,std,two,hatchback,fwd,front,88.0,144.2,60.1,52.0,1467,l,three,60,2bbl,2.9,3.05,9.47,48,5132,47,53,5015.0
1011,3,alfa-romero stelvio,gas,std,two,convertible,rwd,front,89.3,168.5,64.5,49.3,2517,dohc,four,131,mpfi,3.56,2.67,8.86,112,5125,21,27,17031.0
1012,2,mitsubishi outlander,gas,std,two,hatchback,fwd,front,93.2,159.0,65.0,50.3,2038,ohc,four,93,2bbl,3.03,3.27,9.41,69,5446,31,37,6519.0
1013,2,volkswagen model 111,diesel,std,four,sedan,fwd,front,95.9,171.0,65.8,55.6,2227,ohc,four,98,idi,3.01,3.43,23.2,53,4827,37,46,7512.0
1014,1,audi 100ls,gas,std,four,sedan,fwd,front,104.7,195.6,71.7,54.7,2832,ohc,five,138,mpfi,3.21,3.34,8.44,111,5636,19,25,17292.0
1015,-1,volvo 245,gas,std,four,wagon,rwd,front,103.5,190.8,67.0,58.1,3036,ohc,four,144,mpfi,3.79,3.15,9.49,115,5478,24,28,16522.0
1016,0,toyota corona hardtop,gas,std,four,wagon,fwd,front,96.2,172.0,63.6,58.7,2317,ohc,four,93,2bbl,3.07,2.99,9.04,63,4733,31,36,6784.0
